año,valor_(GWh),dia_semana_sin,dia_semana_cos,dia_sin,dia_cos,mes_sin,mes_cos,fecha
0.1428571428571388,0.7301515099195877,0.9749279121818236,-0.22252093395631434,0.9749279121818236,0.22252093395631445,0.49999999999999994,0.8660254037844387,2013-02-06
0.1428571428571388,0.7503540108770812,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,2013-02-07
0.1428571428571388,0.7481972923087534,-0.433883739117558,-0.9009688679024191,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,2013-02-08
0.1428571428571388,0.5563665133979132,-0.9749279121818236,-0.2225209339563146,0.9009688679024191,-0.43388373911755806,0.49999999999999994,0.8660254037844387,2013-02-09
0.1428571428571388,0.4441748533196421,-0.7818314824680299,0.6234898018587334,0.7818314824680299,-0.6234898018587335,0.49999999999999994,0.8660254037844387,2013-02-10
0.1428571428571388,0.73969959801175,0.0,1.0,0.6234898018587336,-0.7818314824680298,0.49999999999999994,0.8660254037844387,2013-02-11
0.1428571428571388,0.756510189317328,0.7818314824680298,0.6234898018587336,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,2013-02-12
0.1428571428571388,0.7397937115154563,0.9749279121818236,-0.22252093395631434,0.2225209339563145,-0.9749279121818236,0.49999999999999994,0.8660254037844387,2013-02-13
0.1428571428571388,0.6976823625886182,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,2013-02-14
0.1428571428571388,0.6635443868072053,-0.433883739117558,-0.9009688679024191,-0.22252093395631428,-0.9749279121818236,0.49999999999999994,0.8660254037844387,2013-02-15
0.1428571428571388,0.4938793207539085,-0.9749279121818236,-0.2225209339563146,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,2013-02-16
0.1428571428571388,0.3889105618534958,-0.7818314824680299,0.6234898018587334,-0.623489801858733,-0.7818314824680301,0.49999999999999994,0.8660254037844387,2013-02-17
0.1428571428571388,0.6407899665782815,0.0,1.0,-0.7818314824680297,-0.6234898018587337,0.49999999999999994,0.8660254037844387,2013-02-18
0.1428571428571388,0.6974551654564896,0.7818314824680298,0.6234898018587336,-0.900968867902419,-0.4338837391175583,0.49999999999999994,0.8660254037844387,2013-02-19
0.1428571428571388,0.6717870157881867,0.9749279121818236,-0.22252093395631434,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,2013-02-20
0.1428571428571388,0.6805480337432512,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,2013-02-21
0.1428571428571388,0.6854228206330375,-0.433883739117558,-0.9009688679024191,-0.9749279121818236,0.22252093395631423,0.49999999999999994,0.8660254037844387,2013-02-22
0.1428571428571388,0.5419091740902873,-0.9749279121818236,-0.2225209339563146,-0.9009688679024193,0.43388373911755795,0.49999999999999994,0.8660254037844387,2013-02-23
0.1428571428571388,0.44110821061491245,-0.7818314824680299,0.6234898018587334,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,2013-02-24
0.1428571428571388,0.7572965130669844,0.0,1.0,-0.6234898018587337,0.7818314824680297,0.49999999999999994,0.8660254037844387,2013-02-25
0.1428571428571388,0.7995066759067906,0.7818314824680298,0.6234898018587336,-0.43388373911755834,0.900968867902419,0.49999999999999994,0.8660254037844387,2013-02-26
0.1428571428571388,0.8220770933149013,0.9749279121818236,-0.22252093395631434,-0.22252093395631464,0.9749279121818235,0.49999999999999994,0.8660254037844387,2013-02-27
0.1428571428571388,0.809338267592344,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387,2013-02-28
0.1428571428571388,0.7819594574338422,-0.433883739117558,-0.9009688679024191,0.20129852008866006,0.9795299412524945,0.8660254037844386,0.5000000000000001,2013-03-01
0.1428571428571388,0.5311051883868394,-0.9749279121818236,-0.2225209339563146,0.39435585511331855,0.9189578116202306,0.8660254037844386,0.5000000000000001,2013-03-02
0.1428571428571388,0.4003384084031427,-0.7818314824680299,0.6234898018587334,0.5712682150947923,0.8207634412072763,0.8660254037844386,0.5000000000000001,2013-03-03
